2025-08-24 01:41:40,763 - INFO - Step 1, Epoch 108: Retain=62.85, New=80.14, Forget=0.00, Combined=66.30, Balanced=71.49, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:42:45,823 - INFO - Step 1, Epoch 109: Retain=62.43, New=80.48, Forget=0.00, Combined=66.02, Balanced=71.45, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:43:51,251 - INFO - Step 1, Epoch 110: Retain=61.66, New=80.59, Forget=0.00, Combined=65.43, Balanced=71.13, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:44:56,385 - INFO - Step 1, Epoch 111: Retain=62.17, New=79.45, Forget=0.00, Combined=65.61, Balanced=70.81, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:46:02,133 - INFO - Step 1, Epoch 112: Retain=61.72, New=80.25, Forget=0.00, Combined=65.41, Balanced=70.98, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:47:08,641 - INFO - Step 1, Epoch 113: Retain=62.82, New=79.00, Forget=0.00, Combined=66.05, Balanced=70.91, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:48:14,538 - INFO - Step 1, Epoch 114: Retain=62.77, New=79.45, Forget=0.00, Combined=66.09, Balanced=71.11, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:49:20,515 - INFO - Step 1, Epoch 115: Retain=62.82, New=80.25, Forget=0.00, Combined=66.30, Balanced=71.54, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:50:25,926 - INFO - Step 1, Epoch 116: Retain=63.45, New=78.31, Forget=0.00, Combined=66.41, Balanced=70.88, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:51:32,283 - INFO - Step 1, Epoch 117: Retain=62.71, New=80.71, Forget=0.00, Combined=66.30, Balanced=71.71, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:52:39,098 - INFO - Step 1, Epoch 118: Retain=62.48, New=81.05, Forget=0.00, Combined=66.18, Balanced=71.77, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:53:45,041 - INFO - Step 1, Epoch 119: Retain=61.80, New=80.02, Forget=0.00, Combined=65.43, Balanced=70.91, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:54:50,981 - INFO - Step 1, Epoch 120: Retain=61.97, New=80.48, Forget=0.00, Combined=65.66, Balanced=71.23, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:55:06,441 - WARNING - Enhanced GS-LoRA Step 1 completed with issues in 7953s
